作品名,创作类型,题材,年份,别名,event_id,年谱原文片段(供查找用)
赠黄滨虹拟请治印,篆刻,篆刻,1912,赠黄滨虹拟请治印; 寒隐,evt_00792,高燮《赠黄滨虹拟请治印》：“人生何者足可耻，穷年读书不识字。邕、冰已远书契湮，旧籍往往混真伪。是谁博考鉴别精，字体源流知所自。因之上溯秦汉遥，典坟邱索得穷治。择古既厚方奏刀，刻划一一具深思。至诚凝固腠理微，承蜩解牛本一致。黄子静者我所师，郑虔三绝人共知。图成《寒隐》昔见赠，明窗相对若为移。旁及摹印尤入妙，扁篆刻蟠神螭。抱残守缺不求赏，落落独挹孤芳姿。徘徊抚鉴有余味，古清郁结念在兹。或言玩物足丧志，腐儒见解真堪嗤。我亦粗知事书史，故纸堆中闷欲死。望古沈沈浩劫灰，捜残蠹简皆无是。聿稽文字创造初，差见微言与奥旨。可知古义一线传，金石之中有鸿秘。遗闻万古蕴不宣，寥落封四千祀。当世能人识字人，眼中我见滨
泰岱图,作画,其他,1912,泰岱图,evt_00797,5月15日《神州日报》创刊五周年纪念，撰时评并作《泰岱图》以贺之。
徐园金石书画共览会第二日纪事,作画,山水,1912,徐园金石书画共览会第二日纪事; 独树图; 墨池风雨; 春郊渡牛图; 兰花,,
频虹集古玺印存,篆刻,其他,1912,频虹集古玺印存,evt_00818,春夏之际，《频虹集古玺印存》五卷本辑成，赠诸同好知己。
文艺批评·滨虹印谱,篆刻,篆刻,1912,文艺批评·滨虹印谱,evt_00819,《文艺批评·滨虹印谱》：“滨虹印谱五册，南社社友黄君朴存辑。朴存善篆刻，好收藏，人类能道之。此谱为其所藏官私印，且为君手拓，尤可宝也。记者昔与黄君同事，每寒夜如年，一灯如豆，人熟睡，君独拓印不少辍。此册实其精神之所寄也，宜乎其可珍也。”（7月23日太平洋报）
滨虹草堂藏古玺印铭并叙,篆刻,篆刻,1912,滨虹草堂藏古玺印铭并叙; 南社丛刻,,
冲雪访碑图,作画,其他,1914,冲雪访碑图,evt_00900,1月25日除夕，偕蔡哲夫同访华泾刘三，同醉黄叶楼。作《冲雪访碑图》赠蔡氏。
分湖吊梦图,作画,其他,1914,分湖吊梦图,evt_00908,春，为叶楚伧作《分湖吊梦图》。
近游图,作画,其他,1914,近游图,evt_00938,秋，为胡蕴（石予）作《近游图》。
汉印菁华,篆刻,篆刻,1914,汉印菁华,evt_00952,黄宾虹题《汉印菁华》：“自来藏□□之多者，向称新安汪讱弇，粤中潘毅□□□□□□□□□□，陈簠老筑□印楼，搜罗奇古，实出其右。余获讱弇所藏印颇□□□□观潘氏看篆楼印谱，集汉铜印，不减讱弇。潍县郭君南来，持其邑人田□颿□拓簠斋所藏印，益以当时士夫之获，凡二十四巨册，心诧艳之，而□□所藏周□□大玺皆在焉。甲寅冬日，茗柯先生游沪上，携古金石，□□□□暇，出何瑗玉手拓印谱眎余，展玩再四，是知其获潘、陈两氏之盛而荟萃□□者藏印，其散□于武林许氏与桐城马氏，且数千钮。今又□□捡行箧中拓所有讱葊（去草头）旧印奉呈□存，俾□□坿于□□□□□□，因题数语归之。古歙黄朴存。”（黄大德先生提供。字迹残破）
祭后山图,作画,其他,1915,祭后山图; 后山诗意图册,evt_00961,春夏间，应黄节函请，为绘《祭后山图》和《后山诗意图册》。
蒹葭楼诗,作画,其他,1915,蒹葭楼诗; 十二月二十九日集法源寺为后山逝日设祭; 大至阁诗; 后山逝日设祭法源寺，余以事未赴，因赋; 祭后山图,evt_00962,裘谱：“黄节为纪念宋诗人陈师道，函请先生绘图。信中说：‘去年腊冬，都下名流，集法源寺，为后山逝日设祭。僧堂深邃，颇饶松竹，既各为诗缮册，欲乞公制一图，以志斯事。’《蒹葭楼诗》上年（按：阳历即本年2月12日）有《十二月二十九日集法源寺为后山逝日设祭》七律一首：‘谡谡长松绕佛坛，致斋为位讵无端？愿兹一往相从意，益叹于今后死难。贤达同时天独啬，士夫明耻国犹安。流光已绝熙丰世，诗卷凭谁共岁寒？’诸宗元《大至阁诗》有五言古诗一章记其事。陈衡恪当日未至，事后有《后山逝日设祭法源寺，余以事未赴，因赋》五古一章，追记其事。先生于7月初即以所绘图寄黄节。黄节于7月5日复信，说：‘朴存先生：奉还劄，并赐绘事……《
分湖归隐图,作画,其他,1915,分湖归隐图,evt_00970,为柳亚子作《分湖归隐图》。
滨虹草堂集古玺印谱叙,篆刻,篆刻,1916,滨虹草堂集古玺印谱叙,evt_00990,1月25日民国日报刊出《滨虹草堂集古玺印谱叙》。
秦汉丁氏印谱序,篆刻,篆刻,1916,秦汉丁氏印谱序,evt_01020,《秦汉丁氏印谱序》：“自来言刻印者，盛推西泠，湖山毓秀，诞生名流，诗书泽躬，蔚此蓺事。八家之中，尤以龙泓丁氏称首。盖其宏才硕学，亮节高风，通于缪篆，能集诸家大成，骎骎秦汉，不懈而及乎古。吾友辅之先生，世居西泠，龙泓之族裔也。蟫蠹盈尺，加多秘藏，螭龙制纹，性嗜籀古，搜罗印谱篆刻，美且富矣。暇与同志，创筑西泠印社于西子湖上，春花秋月，觞咏乎四时，商质周文，漱芳于六艺，鸿宝出箧，宾馆题襟，娱赏之乐，于斯为盛。曩曾甄选遗制，海内之士，流览西泠印存，知龙泓者，莫不欣有嗣徽，丁氏之泽，流芳远矣。今且广征秦汉丁姓名印，采择精审，虽遥稽世胄，青史或湮，而昭示来礽，绛云自在，知君之精心毅力，信而好古，有足多焉。
泰岳图,作画,其他,1917,泰岳图,evt_01025,丁巳二月，作《泰岳图》祝康有为六十岁寿。
拟古图,作画,其他,1917,拟古图,evt_01028,约此际，作《拟古图》赠谛部。
汤临泽篆刻润格,篆刻,山水,1917,汤临泽篆刻润格,evt_01034,《汤临泽篆刻润格》：“汤君临泽，少耽绘事，山水花卉，并臻佳妙，而不知其篆刻之精，尤骎骎入于古，上追秦汉，旁及元明。近日求者益众，为订润格，以告知音。  石章每字二角  牙章每字三角  碑版墓志，及小品等件均另议。  收件处 上海望平街有正书局及四马路三山会馆隔壁海上题襟馆书画会。  潘兰史  黄滨虹  狄楚青同启。”（3月31日时报）
涧水林木图,作画,其他,1917,涧水林木图,evt_01045,秋日，为文翰绘《涧水林木图》，署“朴存黄质”。
李尹桑印存,篆刻,花鸟,1918,李尹桑印存; 天荒什志,,
校碑图,作画,其他,1918,校碑图,evt_01072,春，为蔡哲夫绘《校碑图》。
汤临泽篆刻润例,篆刻,篆刻,1918,汤临泽篆刻润例,evt_01076,《汤临泽篆刻润例》:”石章每字二角  牙章每字三角  碑版墓志砚铭等均面议  代制朱砂印泥每两二元   收件处  上海望平街有正书局  棋盘街审美书馆  宁波路神州国光社    吴昌石  潘兰史  狄楚青  黄滨虹  邓秋枚  高奇峰代启.”(1918年4月16日时报)
杨华图,作画,其他,1918,杨华图,evt_01088,归沪，为诸贞壮绘《杨华图》，黄节题诗。
士一居印谱,篆刻,篆刻,1918,士一居印谱,,
红薇感旧图,作画,其他,1919,红薇感旧图,evt_01125,4月2日，傅熊湘致函乞绘《红薇感旧图》，自此往来愈密。
篆刻麈谭,篆刻,篆刻,1919,篆刻麈谭; 黄宾虹诗文著作系年; 篆刻麈谭,evt_01166,存考：发信人自称十载未见，上次相见在“戊己之间”，则此信当写于戊午己未之间无疑。发信人称见到报上《篆刻麈谭》而写信给报纸主笔，黄宾虹作了回复，因而信开头就有“顷奉手书”之语。查拙编《黄宾虹诗文著作系年》，《篆刻麈谭》连载最早见于1919年9月2日时报，而秦更年就是看到时报美术周刊才写信询问著者为谁的。
木孙楼图,作画,其他,1919,木孙楼图,evt_01169,冬，为蔡哲夫题广东曲法县南华寺北宋木刻造像拓本，并作《木孙楼图》。
题襟馆发起书画助振会,书法,书法,1920,题襟馆发起书画助振会,evt_01231,《题襟馆发起书画助振会》：“拯救直鲁豫晋湘陕闽浙各省水旱兵灾，现承海内书画名家慨助墨宝，及鉴藏家什袭珍品，共计二千余件，已发售振券，每张售银五元，约期摇奖，券各有赠。兹将台篆列后：吴昌硕篆书屏、行书屏、画条，何诗孙行书对、行书屏、书屏，康南海书堂幅、联，伊峻斋对联、册页，周雨卿旧画，顾鹤逸画，徐竹贤画中堂，石炽君画中堂，吴铁珊对、中堂，李平书旧书画，程瑶笙画中堂，翁印若画中堂、对，何熙伯扇面书画，曹恂卿书画，管西园书画，郭和庭画中堂、对，赵叔孺对，邹适庐写拓，黄克明书画，沙辅卿画，唐吉生画、对，吴子茹画、对，吴石潜书画，马肿背画，吴东迈篆屏，王一亭书画，叶指发书画，丁辅之印泥（会中印刷品），潘
庆寿图,作画,其他,1921,庆寿图,evt_01243,春，罗惇收到为其母亲作《庆寿图》，书赠集涪翁诗联致谢。
黄山图,作画,山水,1921,黄山图,evt_01264,5月，高燮与金松岑作黄山之游，为作《黄山图》。
金石纪闻,篆刻,篆刻,1921,金石纪闻,evt_01281,进宧《金石纪闻》：“滨虹去岁拟编印谱，以古玺例言七纸见寄，闻将来印谱仍赓续出版，失印均代以石印也。”
寒林远岫图,作画,其他,1922,寒林远岫图,evt_01298,春正月，乡人吴杏芬七十寿辰，登堂祝嘏，与汪律本（鞠友）、汪声远等作《寒林远岫图》以祝。
天苏阁图,作画,其他,1922,天苏阁图; 纯飞馆图,evt_01326,秋冬间，为徐珂作《天苏阁图》、《纯飞馆图》。
壮悔堂印说,篆刻,篆刻,1923,壮悔堂印说,,
华国,篆刻,山水,1923,华国,evt_01379,10月15，由章太炎为主任之《华国》月刊第二期出版，刊载山水画一帧及古玺印集拓。
海虞山图,作画,其他,1923,海虞山图,evt_01389,作《海虞山图》，写虞山实景。
冷香阁图卷,作画,其他,1924,冷香阁图卷; 虎丘探梅图,evt_01402,冒严寒赴虎丘，与邓椿澍、雪葊合作《冷香阁图卷》，并为金天翮作《虎丘探梅图》，诗酒冷香，极一时之乐。
一百家画梅,作画,花鸟,1924,一百家画梅; 西泠印社社友题名,evt_01428,按：丁辅之本年初始习绘事，专写松枝梅花，遍索友人画梅，竭数年之力，集为《一百家画梅》，1930年6月份由西泠印社印成二大册出版。此图为黄宾虹花卉最早印入画册中者。黄宾虹为西泠印社社友，戊子（1948）年《西泠印社社友题名》载：“黄质，宾虹，八十六，同治壬戌，安徽歙县，杭州栖霞岭十九号。”其入印社也许不晚于本年，待考。
西泠撰杖图,作画,其他,1924,西泠撰杖图,evt_01455,12月19日傅熊湘来信催作《西泠撰杖图》。
东池印集,篆刻,篆刻,1924,东池印集; 西泠撰杖图; 南社湘集,evt_01456,傅熊湘书：“宾虹社长左右：别来无恙，想念弥殷。社友黎君戬园精工篆刻，所出《东池印集》，曾自它处采刊大著，从弟获谂行止，因乞书介，以慰相慕之诚，望赐教为感。又上年求惠写《西泠撰杖图》，并乞暇中一挥，至为企祷。前奉寄《南社湘集》一本，由朴安转寄，到否？此颂著安不一。弟傅熊湘顿首。十一月十五日。”
嘉陵山水图,作画,山水,1925,嘉陵山水图,evt_01461,1月，为易孺作《嘉陵山水图》，题画有云“我从何处得粉本？雨淋墙头月移壁”。
笺诗图,作画,其他,1925,笺诗图; 谢康乐诗注,evt_01463,春，赠黄节、唐天如画，3月14日黄节来信再索作《笺诗图》，并询欲在沪印行新著《谢康乐诗注》事。
中国画史馨香录,篆刻,篆刻,1925,中国画史馨香录; 古画微,evt_01468,按：蔼农即黄葆戉（1880—1968），戊一作钺，号青山农。福建长乐人。精隶书，工篆刻，兼善绘画。供职商务印书馆，与黄宾虹同事。《中国画史馨香录》并未再赓续，也许致力于《古画微》的写作，已无暇兼顾。
登高望远图,作画,其他,1925,登高望远图,evt_01473,四月，为郑旼（遗苏）族裔程完心作《登高望远图》。
访碑图,作画,其他,1925,访碑图,evt_01475,约此际，为收藏家刘晦之作《访碑图》。
寿石山房山水润例,作画,山水,1925,寿石山房山水润例,evt_01481,《寿石山房山水润例》：“余威丹女士工画山水，笔意苍秀，功力深厚，直入四王之室，求画者接踵，为定润例如右：堂幅四尺十二元，五尺十六元，六尺廿四元，八尺三十六元。屏条每条照堂幅七折。横披照堂幅加半。斗方、册页、扇面每件尺内者三元。手卷每尺三元。三尺立轴照四尺堂幅八折。以上点景、工细、青绿、泥金均加倍。纸润先惠，约期取件。乙丑年五月，萧蜕公、黄滨虹、汪铎代订。收件处：西门石皮衖亦仁里一号。”
黄山文殊台图,作画,山水,1925,黄山文殊台图,evt_01515,仲冬，为王雪帆作《黄山文殊台图》。
红树室图,作画,其他,1926,红树室图,evt_01555,夏日，为陆丹林作《红树室图》。
浙游纪胜图册,作画,其他,1926,浙游纪胜图册,evt_01558,丙寅夏，为谈月色作《浙游纪胜图册》。
拟李晞古江寺图,作画,其他,1926,拟李晞古江寺图,evt_01594,夏，应蔡哲夫转请，为黄般若作《拟李晞古江寺图》。
篝镫纺读图,作画,其他,1927,篝镫纺读图,evt_01615,春，为陆丹林作《篝镫纺读图》。
勘书图,作画,其他,1927,勘书图,evt_01628,徐积余赠精刻影宋善本永嘉四灵诗，作《勘书图》报之。
练滨草堂图,作画,其他,1927,练滨草堂图,evt_01636,夏日，为巴慰祖族裔巴叔海订润例，并作《练滨草堂图》赠之。
巴叔海润例,作画,山水,1927,巴叔海润例,evt_01637,《巴叔海润例》：“巴君叔海，新安巴予藉先生之族裔也。髫龄蜚声庠序，壮游四方，工篆隶书，善画山水，兼精篆刻，妙有四香堂之遗风。近以求者日繁，应接不暇，爰为代订润例，鉴者谅焉。（中略）丁卯夏日，黄宾虹订于上海。”
寿石山房画例,作画,山水,1927,寿石山房画例,evt_01641,《寿石山房画例》：“余威丹女士工画山水，笔意苍劲，功力深厚，直入四王之室，求画者接踵，为定润例如下：（略）黄宾虹、萧蜕公、汪声远代定。”
