作品名,创作类型,题材,年份,别名,event_id,年谱原文片段(供查找用)
宾虹小简,著述,其他,1935,宾虹小简,evt_03090,《宾虹小简》：“近有英国苏里文抵沪，向庞薰琹君代索时人画件，闻将著述画评。前十年间，意大利画家查龙来上海，屡为过从，渠返国后，以中国棉纸、毛笔、线条、设色，作简逸小幅赠余，中多与国画近似。美国芝加哥中国画论教授德里斯珂氏，前三五年尝连函参考。今欧美人谈画，多沾沾逸品，鄙见云林法荆、关，董玄宰宗北苑，王孟津学范宽，张稚恭师巨然，王凤洲谓弘治后吴门无画，惟张复差润，诚以用墨难于用笔。文、沈晚年，苍而并润，余多枯燥，自思翁用湿笔得墨法，而名作渐兴，且与欧美参究为合。大教幸有以进之。宾虹又上。”
学术世界出版预告,出版,其他,1935,学术世界出版预告; 学术世界,evt_03100,《学术世界出版预告》：“近闻陈柱尊、郑师许两教授发起编辑《学术世界》月刊，托世界书局出版发行。担任撰述者，如陈衍、唐文治、黄宾虹、张其淦、陈天倪、钱基博、吴康、陈钟凡、朱公谨、冯振、刘祖仁、庄强华、马宗荣、邰爽秋、傅式说、唐庆增、黄华表等。此外，并刊登前贤遗著，专以讨究学术为范围，内容甚为丰富，第一卷第一期月内即可出版。” （5月24日申报）
邱石冥国画展览会,作画,山水,1935,邱石冥国画展览会,evt_03102,《邱石冥国画展览会》：“北平名画家邱石冥主办京华美术学院凡十余载，近携个人杰作及学生作品百余轴南下游览名胜，假道沪滨，本市中国画会名家王一亭、黄宾虹、张聿光等数十人，特假座功德林设宴招待，并为发起展览，公诸同好。其日期已定于昨日起至二十八日在三马路石路东首上海文艺社举行。闻该会作品中，除个人花鸟山水杰作外，并有近作油画花卉一幅，为国画中别开生面者。其他尚有该院教授吴锐江、徐燕荪、于非厂、汪慎生、周怀民等合作多幅，均极名贵，而全部学生成绩均属精品，届时开幕，定有一番盛况云。”（5月26日申报）
芥子园画传,著述,其他,1935,芥子园画传; 书画书录解题,evt_03105,《余绍宋日记》同日条：“德国女子孔德者，柏林东方艺术馆研究员（同来女子吴颖字引至，硖石人，能德文）因叶誉虎与黄宾虹之介来访，操华语尚纯熟，告余已将《芥子园画传》译成德文，甚佩服余所著《书画书录解题》，谓已介于其国之学者。谈话历三小时，颇能明了吾国画学之精义，如谓西湖国立艺术院办理之不善，吾国近时画人祇知手技，绝少心灵；此次送伦敦展览之故物阙欠明末清初作品；西人祇知宋元画派，不知文人画之可贵；中国画重在气韵，而气韵绝难用言语形容；中国书画一体，不能作书之人不能学画，等等，皆今日时髦画画家所不能道者也。”
桂林八景图,作画,其他,1935,桂林八景图,evt_03111,6月，为陈柱作《桂林八景图》。
忆旧游,作画,山水,1935,忆旧游; 桂林八景图; 八景图; 八桂豪游图; 学术世界,evt_03112,陈柱《忆旧游》：“黄先生又为余作《桂林八景图》，而题桂林清道光间诗画家罗星桥（辰之）诗于其上。诗多，今不录，然星桥诗可谓生造险涩，欲与桂林山水争奇，而黄先生之《八景图》，尤足与《八桂豪游图》相发，盖前者以淡远胜，而后者以雄浑胜矣。近吾于友朋雅会之际，展图共赏，未尝不按图指曰：是吾昔日看黄先生写真处也，是吾昔日曾与黄先生大醉处也。”（《学术世界》第一卷第九期）
柏林中国美展会宴刘海粟,题跋,其他,1935,柏林中国美展会宴刘海粟,,
广西省政府举办全省中等学校教职员暑期讲习班,题跋,其他,1935,广西省政府举办全省中等学校教职员暑期讲习班; 学术世界,evt_03133,《广西省政府举办全省中等学校教职员暑期讲习班》：“（前略）今年暑假召集全省高、初中及师范学校校长、教导主任及国文教员来邕，分别加入教职员讲习班及国文教员讲习班训练，并敦请国画泰斗、暨南大学教授黄宾虹、交通大学国学系主任陈柱尊、无锡国学专门学院校务主任冯振、上海光华及大夏大学教授陈一百、广东中山大学教育研究所主任崔载阳，暨广州勷勤大学教授徐则邻七人为讲师，于七月二十二日起上课。……崔载阳讲：一、教育行政问题，二、中学校校长应负之责任。陈一百讲：一、中学教师应有之人生观，二、如何增进教学效率，三、考核成绩之原则及方法，四、关于教材与教法问题的实验方法。黄宾虹讲：一、金石学史，二、书法发微，三、图画
精神重于物质说,著述,其他,1935,精神重于物质说; 周易; 春秋; 说文; 汉（书）·艺文志,evt_03135,《精神重于物质说》：“《易》曰：‘道成而上，艺成而下。’道成、艺成，犹今所谓精神文明与物质文明也。中华四千年来，为文化开化最早之国。古之制作，皆古之圣贤，政教一致，初无道与艺之分。盖三代而上，君相有学，道在君相。三代而下，君相失学，道在师儒。春秋之世，文武之道，未坠于地，在人，贤者识其大者，不贤者识其小者，此道与艺之所由分，其见端耶？孔子删《诗》、《书》，订《礼》、《乐》，作《周易》，修《春秋》，问礼于老聃，问乐于苌弘，采百二国之宝书，以及𬨎轩所录之风诗。其时国学之掌于史官者，集大成于尼山。故孔门四教，文行忠信，又曰：行有余力，则于《说文》注谓：诗书，六艺之文。六艺者，礼、乐、射、御、书、数也
黄宾虹马万里两先生国画展览会小启,题跋,山水,1935,黄宾虹马万里两先生国画展览会小启,evt_03137,《黄宾虹马万里两先生国画展览会小启》：“黄宾虹先生初名质，字朴存，皖南歙县籍，生长浙东，弱冠肄业杭州、扬州、南京各书院。甲午丁外艰回歙，有志经世之学，垦荒田三千余亩。北行幽燕，归即绝意学业。民国前二年居上海二十余载，任国粹学报、神州日报、新闻报各报馆文艺编辑，兼任学校国文教授。入南社，有诗文集刊行。性喜金石书画、古物收藏，成杂著数册。书临周金，画学宋元，获古印千余纽，已有拓本二三集。近十年来，游浙闽诸山，曾入蜀中，登峨嵋、青城，粤西临桂林、阳朔诸名胜，均有诗画稿本。今应聘讲学后，闻将一瞻勾漏、都峤云。马万里先生，字曼庐，毗陵世家，幼颖悟，画秉天授。冲龄研六法，下笔即成。山水兼擅南北宗，具秀厚浑
